draft_pick,value_jj,jj_v1
225,1.8,6.000000000000001e-4
226,1.6,5.333333333333334e-4
227,1.4,4.6666666666666666e-4
228,1.2,3.9999999999999996e-4
229,1,3.333333333333333e-4
230,1,3.333333333333333e-4
231,1,3.333333333333333e-4
232,1,3.333333333333333e-4
233,1,3.333333333333333e-4
234,1,3.333333333333333e-4
235,1,3.333333333333333e-4
236,1,3.333333333333333e-4
237,1,3.333333333333333e-4
238,1,3.333333333333333e-4
239,1,3.333333333333333e-4
240,1,3.333333333333333e-4
241,1,3.333333333333333e-4
242,1,3.333333333333333e-4
243,1,3.333333333333333e-4
244,1,3.333333333333333e-4
245,1,3.333333333333333e-4
246,1,3.333333333333333e-4
247,1,3.333333333333333e-4
248,1,3.333333333333333e-4
249,1,3.333333333333333e-4
250,1,3.333333333333333e-4
251,1,3.333333333333333e-4
252,1,3.333333333333333e-4
253,1,3.333333333333333e-4
254,1,3.333333333333333e-4
255,1,3.333333333333333e-4
256,1,3.333333333333333e-4
257,1,3.333333333333333e-4
