b,m,lambda,beta,rho
24,2,0.11858634898045599,0.7211591092418593,-0.6037166593941978
25,2,0.005712642085236426,1.7821158979023168,2.0876244279489353
26,2,0.12815272203560038,0.7108111157445275,-0.5993965931787344
27,2,0.02060108266087208,1.3795412618540523,0.8937018944669182
28,2,0.06339432123211915,1.1659869849348055,4.278270880680033
29,2,0.2389658784920862,0.793909238989687,1.201815502719388
30,2,0.011263292861375167,1.566642892058925,1.2985701361584558
31,2,0.20575062766049781,0.6192498760859891,-0.5436394094266902
32,2,0.2215521924862976,0.6281671653567703,-0.5704235942326579
33,2,0.097715694693298355,1.1360944648686249,45.09436858783094
34,2,0.09248144934492389,1.040313079601086,1.0693592931015483
35,2,0.23368159312649098,0.6208341844044801,-0.5701783383110548
36,2,0.11020055251911198,1.0781863579513609,1.9610365382386092
37,2,0.14617356964652703,0.6792498561458402,-0.6051206274928475
38,2,0.13781931247110643,0.69963742926248,-0.6185419122588338
39,2,0.1294206198269682,0.7281743639360575,-0.5795198597006539
40,2,0.14279210670608783,0.9329642774446703,2.850309501604747
41,2,0.18054902838254577,0.6486919220210291,-0.5847999045336004
42,2,0.10155715333828567,0.7503789609211555,-0.5973671261798471
43,2,0.059578630095193374,1.2108083596668247,5.070153950726903
44,2,0.11937723762954082,1.029543649456423,4.274927283471624
45,2,0.09563137273217352,0.7570266625174498,-0.558894782691301
46,2,0.12191373654418236,0.7164941578692164,-0.5957250785083321
47,2,0.0018002719605164977,1.8771356012572746,-2.0815536357852724e-4
48,2,0.1601534542656958,0.6731917406665049,-0.5777935608167429
49,2,0.15958467037706178,0.6698264253911064,-0.5553831382487845
50,2,0.16459470664578615,0.6991737855819288,-0.44595696894123477
51,2,0.10695520282144017,0.9599738616933639,-0.027357185070646915
52,2,0.11972039997939525,0.722814343018815,-0.609300601726799
53,2,0.1232630976775011,0.7576987094882635,-0.5765700360026501
54,2,0.11030523611842487,1.049627756107326,6.367164997403396
55,2,0.12846149064619983,0.7112370817681684,-0.5856953864932086
56,2,0.15029321698818845,0.6723847552795266,-0.6122707105991316
57,2,0.07606738720839068,1.1538554830181273,2.3816852244355378
58,2,0.18617803132096655,0.8584201584687541,2.14368380293853
59,2,0.11740088335378945,0.7975622410042318,-0.46656029000394844
60,2,0.10580226252035962,0.7750494034928888,-0.5720665970186961
61,2,0.007783634593224412,1.807237195732178,9.63397212496648
62,2,0.0016043806009747575,1.9293518018918379,-0.660610672439647
63,2,0.13917982711710572,0.717772560970687,-0.6122631941990336
64,2,0.13294126641535636,0.7010784211551828,-0.6070325797894212
